variant,feature,selector_importance,selected
corrected_simulation_day,numeric__category_amount_last_6_steps,0.0126571254034311,True
corrected_simulation_day,categorical__category_es_transportation,0.012647223178777598,True
corrected_simulation_day,numeric__category_previous_min_amount,0.012317463573585586,True
corrected_simulation_day,numeric__merchant_previous_min_amount,0.010416614852956311,True
corrected_simulation_day,numeric__merchant_amount_last_3_steps,0.009155882852600866,True
corrected_simulation_day,numeric__merchant_amount_last_1_steps,0.008855017716509634,True
corrected_simulation_day,numeric__category_amount_last_1_steps,0.00883498362718296,True
corrected_simulation_day,numeric__category_previous_transaction_count,0.008626724425145013,True
corrected_simulation_day,numeric__customer_previous_avg_spend,0.007437079125402675,True
corrected_simulation_day,numeric__customer_category_transaction_share,0.007389919158212154,True
corrected_simulation_day,numeric__category_amount_ratio,0.007351606323742139,True
corrected_simulation_day,numeric__merchant_received_per_step,0.006867420056000061,True
corrected_simulation_day,numeric__customer_previous_std_spend,0.0064941927816702235,True
corrected_simulation_day,numeric__merchant_amount_last_6_steps,0.005595573201553391,True
corrected_simulation_day,numeric__merchant_amount_ratio,0.005537383967141067,True
corrected_simulation_day,numeric__category_amount_last_24_steps,0.005501564643630062,True
corrected_simulation_day,numeric__category_amount_last_3_steps,0.004856272750471263,True
corrected_simulation_day,numeric__customer_previous_max_spend,0.0045329463622514185,True
corrected_simulation_day,numeric__category_previous_total_amount,0.004404602295142745,True
corrected_simulation_day,numeric__customer_spend_per_step,0.003580934481974259,True
corrected_simulation_day,numeric__customer_category_spend_share,0.003184732656271424,True
corrected_simulation_day,numeric__customer_amount_last_24_steps,0.0026529945827332866,True
corrected_simulation_day,numeric__customer_amount_ratio,0.0025082282221094913,True
corrected_simulation_day,numeric__merchant_amount_last_24_steps,0.00217919636876452,True
corrected_simulation_day,numeric__customer_previous_total_spend,0.0020991744206917923,True
corrected_simulation_day,numeric__customer_transactions_per_step,0.0019546891356885046,True
corrected_simulation_day,numeric__customer_amount_last_6_steps,0.001893390385622968,True
corrected_simulation_day,numeric__merchant_velocity_ratio,0.0017804616395249878,True
corrected_simulation_day,numeric__customer_previous_min_spend,0.0016145406194262482,True
corrected_simulation_day,numeric__customer_previous_transaction_count,0.001578705739050418,True
corrected_simulation_day,numeric__customer_transactions_last_24_steps,0.001508724255514657,True
corrected_simulation_day,numeric__merchant_previous_total_received,0.0013320055578448081,True
corrected_simulation_day,numeric__customer_transactions_last_6_steps,0.0012650608810916427,True
corrected_simulation_day,numeric__customer_amount_last_3_steps,0.0012221962587645537,True
corrected_simulation_day,numeric__customer_velocity_ratio,0.0011480883869663594,True
corrected_simulation_day,numeric__merchant_recent_amount_ratio,0.0011337583028066436,True
corrected_simulation_day,numeric__simulation_day,0.0011088362634913264,False
corrected_simulation_day,numeric__category_velocity_ratio,0.0010430556353926651,False
corrected_simulation_day,numeric__customer_recent_amount_ratio,0.0008665694437307019,False
corrected_simulation_day,numeric__category_recent_amount_ratio,0.0008636342871292508,False
corrected_simulation_day,numeric__customer_amount_last_1_steps,0.0008521297017629942,False
corrected_simulation_day,numeric__customer_category_previous_avg_amount,0.0008270127230292037,False
corrected_simulation_day,numeric__customer_steps_since_last_transaction,0.0007694963880672468,False
corrected_simulation_day,numeric__customer_category_amount_ratio,0.0007503006138972546,False
corrected_simulation_day,numeric__customer_transactions_last_3_steps,0.0007457145801384504,False
corrected_simulation_day,numeric__customer_category_previous_max_amount,0.0006652442159425048,False
corrected_simulation_day,numeric__customer_merchant_amount_ratio,0.0005618787333775222,False
corrected_simulation_day,numeric__customer_category_previous_min_amount,0.00051014544958968,False
corrected_simulation_day,categorical__category_es_health,0.0004883348803662525,False
corrected_simulation_day,numeric__customer_category_steps_since_last_transaction,0.0004575570910767108,False
corrected_simulation_day,numeric__customer_merchant_transaction_share,0.0004460430250285989,False
corrected_simulation_day,numeric__customer_category_previous_total_amount,0.000434989815912825,False
corrected_simulation_day,numeric__customer_merchant_spend_share,0.0003916166998067856,False
corrected_simulation_day,numeric__customer_merchant_previous_max_amount,0.00038647235341794813,False
corrected_simulation_day,numeric__customer_merchant_previous_total_amount,0.00037861892851590826,False
corrected_simulation_day,categorical__category_es_sportsandtoys,0.0003544781891457778,False
corrected_simulation_day,numeric__customer_merchant_previous_min_amount,0.0003485894164898747,False
corrected_simulation_day,numeric__customer_merchant_previous_avg_amount,0.0002933273450061394,False
corrected_simulation_day,numeric__customer_category_previous_transaction_count,0.00029139028651487014,False
corrected_simulation_day,categorical__category_es_wellnessandbeauty,0.0002773244244274318,False
corrected_simulation_day,numeric__customer_merchant_steps_since_last_transaction,0.00026968497545909025,False
corrected_simulation_day,numeric__customer_category_previous_std_amount,0.00025709878420490494,False
corrected_simulation_day,numeric__customer_transactions_last_1_steps,0.0002535128862851742,False
corrected_simulation_day,categorical__gender_F,0.0002465698637445536,False
corrected_simulation_day,categorical__category_es_fashion,0.00024614997117729763,False
corrected_simulation_day,categorical__gender_M,0.00021706170787427938,False
corrected_simulation_day,categorical__age_2,0.00020885396066428974,False
corrected_simulation_day,categorical__age_3,0.00019853780221458584,False
corrected_simulation_day,numeric__customer_merchant_previous_std_amount,0.00017237838097903136,False
corrected_simulation_day,categorical__age_4,0.0001722794229320342,False
corrected_simulation_day,categorical__category_es_tech,0.00017223447548414856,False
corrected_simulation_day,categorical__category_es_food,0.0001526092311609239,False
corrected_simulation_day,categorical__age_5,0.00014834617563790924,False
corrected_simulation_day,categorical__age_6,0.0001348793820992219,False
corrected_simulation_day,categorical__age_1,0.0001300903737839818,False
corrected_simulation_day,categorical__category_es_otherservices,0.00012036994719413614,False
corrected_simulation_day,categorical__category_es_barsandrestaurants,0.0001121827017851952,False
corrected_simulation_day,numeric__customer_merchant_previous_transaction_count,0.00011091077718875124,False
corrected_simulation_day,categorical__category_es_hyper,0.00010331143861128324,False
corrected_simulation_day,categorical__category_es_home,8.826595126493126e-05,False
corrected_simulation_day,categorical__category_es_leisure,5.384343221865445e-05,False
corrected_simulation_day,numeric__is_new_category_for_customer,5.104674588224638e-05,False
corrected_simulation_day,categorical__age_0,4.212092183228332e-05,False
corrected_simulation_day,categorical__category_es_hotelservices,4.131000186117178e-05,False
corrected_simulation_day,numeric__is_new_customer,3.866565164027369e-05,False
corrected_simulation_day,numeric__is_new_merchant_for_customer,3.29978988202802e-05,False
corrected_simulation_day,categorical__category_es_contents,2.3619603893918828e-05,False
corrected_simulation_day,numeric__is_new_merchant,1.2121239666601416e-05,False
corrected_simulation_day,categorical__age_U,1.1363119595816499e-05,False
corrected_simulation_day,categorical__gender_E,7.48579820051193e-06,False
corrected_simulation_day,categorical__category_es_travel,6.989286108381072e-06,False
corrected_simulation_day,categorical__gender_U,2.4520570130680527e-07,False
no_direct_time,numeric__merchant_previous_max_amount,0.12380639355273712,True
no_direct_time,numeric__merchant_transactions_last_6_steps,0.08033430992681033,True
no_direct_time,numeric__merchant_transactions_last_3_steps,0.06889213347362222,True
no_direct_time,numeric__category_previous_avg_amount,0.05202278363420324,True
no_direct_time,numeric__merchant_transactions_per_step,0.04757101101616936,True
no_direct_time,numeric__merchant_transactions_last_24_steps,0.043720543898439664,True
no_direct_time,numeric__merchant_previous_std_amount,0.04271829263616741,True
no_direct_time,numeric__merchant_transactions_last_1_steps,0.04196911557877375,True
no_direct_time,numeric__merchant_previous_avg_amount,0.04018817665706798,True
no_direct_time,numeric__category_previous_max_amount,0.03973041360449077,True
no_direct_time,numeric__category_previous_std_amount,0.03407445291851593,True
no_direct_time,numeric__category_transactions_last_3_steps,0.030038254114299646,True
no_direct_time,numeric__merchant_previous_min_amount,0.02926622476564868,True
no_direct_time,numeric__category_transactions_last_24_steps,0.025798035634892604,True
no_direct_time,numeric__category_transactions_last_6_steps,0.021877607411335064,True
no_direct_time,numeric__amount,0.020959218712669484,True
no_direct_time,numeric__category_transactions_per_step,0.01898591460795258,True
no_direct_time,numeric__merchant_previous_transaction_count,0.01695401675873923,True
no_direct_time,numeric__log_amount,0.01608735069232219,True
no_direct_time,numeric__merchant_received_per_step,0.013622656563440128,True
no_direct_time,categorical__category_es_transportation,0.012930322596993634,True
no_direct_time,numeric__category_previous_transaction_count,0.012182733493665549,True
no_direct_time,numeric__merchant_amount_last_1_steps,0.012041115152682982,True
no_direct_time,numeric__category_amount_last_1_steps,0.009485445836367382,True
no_direct_time,numeric__merchant_amount_last_3_steps,0.009036758025379675,True
no_direct_time,numeric__category_transactions_last_1_steps,0.008800228003153434,True
no_direct_time,numeric__category_previous_min_amount,0.008202521458664205,True
no_direct_time,numeric__category_previous_total_amount,0.008056050409979535,True
no_direct_time,numeric__category_amount_ratio,0.007723089982239621,True
no_direct_time,numeric__customer_previous_avg_spend,0.006381256499431389,True
no_direct_time,numeric__merchant_amount_last_24_steps,0.005942671942443318,True
no_direct_time,numeric__merchant_amount_last_6_steps,0.0056610942756528514,True
no_direct_time,numeric__category_amount_per_step,0.005353014753928462,True
no_direct_time,numeric__category_amount_last_24_steps,0.005235249393826724,True
no_direct_time,numeric__customer_previous_std_spend,0.005109056131286603,True
no_direct_time,numeric__category_amount_last_6_steps,0.0051038127353087125,True
